County,Year,Sex,Disease,Cases
Contra Costa,2017,Total,Anthrax,0
Contra Costa,2017,Total,Babesiosis,0
Contra Costa,2017,Total,"Botulism, Foodborne",1
Contra Costa,2017,Total,"Botulism, Other",0
Contra Costa,2017,Total,"Botulism, Wound",0
Contra Costa,2017,Total,Brucellosis,0
Contra Costa,2017,Total,Campylobacteriosis,308
Contra Costa,2017,Total,Chikungunya Virus Infection,4
Contra Costa,2017,Total,Cholera,0
Contra Costa,2017,Total,Ciguatera Fish Poisoning,0
Contra Costa,2017,Total,Coccidioidomycosis,89
Contra Costa,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,1
Contra Costa,2017,Total,Cryptosporidiosis,6
Contra Costa,2017,Total,Cyclosporiasis,0
Contra Costa,2017,Total,Cysticercosis or Taeniasis,1
Contra Costa,2017,Total,Dengue,4
Contra Costa,2017,Total,Domoic Acid Poisoning,0
Contra Costa,2017,Total,E. coli O157,13
Contra Costa,2017,Total,E. coli Other STEC (non-O157),49
Contra Costa,2017,Total,Ehrlichiosis,0
Contra Costa,2017,Total,Flavivirus Infection of Undetermined Species,0
Contra Costa,2017,Total,Giardiasis,105
Contra Costa,2017,Total,Hantavirus Infection,0
Contra Costa,2017,Total,Hemolytic Uremic Syndrome,3
Contra Costa,2017,Total,"Hepatitis E, acute infection",2
Contra Costa,2017,Total,Legionellosis,7
Contra Costa,2017,Total,Leprosy,0
Contra Costa,2017,Total,Leptospirosis,0
Contra Costa,2017,Total,Listeriosis,5
Contra Costa,2017,Total,Lyme Disease,11
Contra Costa,2017,Total,Malaria,3
Contra Costa,2017,Total,Paralytic Shellfish Poisoning,0
Contra Costa,2017,Total,"Plague, human",0
Contra Costa,2017,Total,Psittacosis,0
Contra Costa,2017,Total,Q Fever,1
Contra Costa,2017,Total,"Rabies, human",0
Contra Costa,2017,Total,Relapsing Fever,0
Contra Costa,2017,Total,Salmonellosis,177
Contra Costa,2017,Total,Scombroid Fish Poisoning,0
Contra Costa,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),6
Contra Costa,2017,Total,Shigellosis,70
Contra Costa,2017,Total,Spotted Fever Rickettsiosis,0
Contra Costa,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Contra Costa,2017,Total,Trichinosis,0
Contra Costa,2017,Total,Tularemia,0
Contra Costa,2017,Total,"Typhoid Fever, case",0
Contra Costa,2017,Total,Typhus Fever,0
Contra Costa,2017,Total,Vibrio Infection (non-Cholera),4
Contra Costa,2017,Total,Yellow Fever,0
Contra Costa,2017,Total,Yersiniosis,0
Contra Costa,2017,Total,Zika Virus Infection,4
Del Norte,2017,Total,Amebiasis,0
Del Norte,2017,Total,Anaplasmosis,0
Del Norte,2017,Total,Anthrax,0
Del Norte,2017,Total,Babesiosis,0
Del Norte,2017,Total,"Botulism, Foodborne",0
Del Norte,2017,Total,"Botulism, Other",0
Del Norte,2017,Total,"Botulism, Wound",0
Del Norte,2017,Total,Brucellosis,0
Del Norte,2017,Total,Campylobacteriosis,3
Del Norte,2017,Total,Chikungunya Virus Infection,0
Del Norte,2017,Total,Cholera,0
Del Norte,2017,Total,Ciguatera Fish Poisoning,0
Del Norte,2017,Total,Coccidioidomycosis,0
Del Norte,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Del Norte,2017,Total,Cryptosporidiosis,0
Del Norte,2017,Total,Cyclosporiasis,0
Del Norte,2017,Total,Cysticercosis or Taeniasis,0
Del Norte,2017,Total,Dengue,0
Del Norte,2017,Total,Domoic Acid Poisoning,0
Del Norte,2017,Total,E. coli O157,0
Del Norte,2017,Total,E. coli Other STEC (non-O157),0
Del Norte,2017,Total,Ehrlichiosis,0
Del Norte,2017,Total,Flavivirus Infection of Undetermined Species,0
Del Norte,2017,Total,Giardiasis,1
Del Norte,2017,Total,Hantavirus Infection,0
Del Norte,2017,Total,Hemolytic Uremic Syndrome,0
Del Norte,2017,Total,"Hepatitis E, acute infection",0
Del Norte,2017,Total,Legionellosis,0
Del Norte,2017,Total,Leprosy,0
Del Norte,2017,Total,Leptospirosis,0
Del Norte,2017,Total,Listeriosis,0
Del Norte,2017,Total,Lyme Disease,0
Del Norte,2017,Total,Malaria,0
Del Norte,2017,Total,Paralytic Shellfish Poisoning,0
Del Norte,2017,Total,"Plague, human",0
Del Norte,2017,Total,Psittacosis,0
Del Norte,2017,Total,Q Fever,0
Del Norte,2017,Total,"Rabies, human",0
Del Norte,2017,Total,Relapsing Fever,0
Del Norte,2017,Total,Salmonellosis,1
Del Norte,2017,Total,Scombroid Fish Poisoning,0
Del Norte,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Del Norte,2017,Total,Shigellosis,0
Del Norte,2017,Total,Spotted Fever Rickettsiosis,0
Del Norte,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Del Norte,2017,Total,Trichinosis,0
Del Norte,2017,Total,Tularemia,0
Del Norte,2017,Total,"Typhoid Fever, case",0
Del Norte,2017,Total,Typhus Fever,0
Del Norte,2017,Total,Vibrio Infection (non-Cholera),0
Del Norte,2017,Total,Yellow Fever,0
Del Norte,2017,Total,Yersiniosis,0
Del Norte,2017,Total,Zika Virus Infection,0
El Dorado,2017,Total,Amebiasis,0
El Dorado,2017,Total,Anaplasmosis,0
El Dorado,2017,Total,Anthrax,0
El Dorado,2017,Total,Babesiosis,0
El Dorado,2017,Total,"Botulism, Foodborne",0
El Dorado,2017,Total,"Botulism, Other",0
El Dorado,2017,Total,"Botulism, Wound",0
El Dorado,2017,Total,Brucellosis,0
El Dorado,2017,Total,Campylobacteriosis,52
El Dorado,2017,Total,Chikungunya Virus Infection,0
El Dorado,2017,Total,Cholera,0
El Dorado,2017,Total,Ciguatera Fish Poisoning,0
El Dorado,2017,Total,Coccidioidomycosis,5
El Dorado,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
El Dorado,2017,Total,Cryptosporidiosis,3
El Dorado,2017,Total,Cyclosporiasis,0
El Dorado,2017,Total,Cysticercosis or Taeniasis,0
El Dorado,2017,Total,Dengue,2
El Dorado,2017,Total,Domoic Acid Poisoning,0
El Dorado,2017,Total,E. coli O157,3
El Dorado,2017,Total,E. coli Other STEC (non-O157),6
El Dorado,2017,Total,Ehrlichiosis,0
El Dorado,2017,Total,Flavivirus Infection of Undetermined Species,0
El Dorado,2017,Total,Giardiasis,19
El Dorado,2017,Total,Hantavirus Infection,0
El Dorado,2017,Total,Hemolytic Uremic Syndrome,1
El Dorado,2017,Total,"Hepatitis E, acute infection",0
El Dorado,2017,Total,Legionellosis,0
El Dorado,2017,Total,Leprosy,0
El Dorado,2017,Total,Leptospirosis,0
El Dorado,2017,Total,Listeriosis,2
El Dorado,2017,Total,Lyme Disease,1
El Dorado,2017,Total,Malaria,0
El Dorado,2017,Total,Paralytic Shellfish Poisoning,0
El Dorado,2017,Total,"Plague, human",0
El Dorado,2017,Total,Psittacosis,0
El Dorado,2017,Total,Q Fever,0
El Dorado,2017,Total,"Rabies, human",0
El Dorado,2017,Total,Relapsing Fever,0
El Dorado,2017,Total,Salmonellosis,41
El Dorado,2017,Total,Scombroid Fish Poisoning,0
El Dorado,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),3
El Dorado,2017,Total,Shigellosis,8
El Dorado,2017,Total,Spotted Fever Rickettsiosis,0
El Dorado,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
El Dorado,2017,Total,Trichinosis,0
El Dorado,2017,Total,Tularemia,0
El Dorado,2017,Total,"Typhoid Fever, case",0
El Dorado,2017,Total,Typhus Fever,0
El Dorado,2017,Total,Vibrio Infection (non-Cholera),0
El Dorado,2017,Total,Yellow Fever,0
El Dorado,2017,Total,Yersiniosis,0
El Dorado,2017,Total,Zika Virus Infection,0
Fresno,2017,Total,Amebiasis,4
Fresno,2017,Total,Anaplasmosis,0
Fresno,2017,Total,Anthrax,0
Fresno,2017,Total,Babesiosis,0
Fresno,2017,Total,"Botulism, Foodborne",0
Fresno,2017,Total,"Botulism, Other",0
Fresno,2017,Total,"Botulism, Wound",2
Fresno,2017,Total,Brucellosis,2
Fresno,2017,Total,Campylobacteriosis,343
Fresno,2017,Total,Chikungunya Virus Infection,0
Fresno,2017,Total,Cholera,0
Fresno,2017,Total,Ciguatera Fish Poisoning,0
Fresno,2017,Total,Coccidioidomycosis,825
Fresno,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Fresno,2017,Total,Cryptosporidiosis,13
Fresno,2017,Total,Cyclosporiasis,0
Fresno,2017,Total,Cysticercosis or Taeniasis,1
Fresno,2017,Total,Dengue,2
Fresno,2017,Total,Domoic Acid Poisoning,0
Fresno,2017,Total,E. coli O157,23
Fresno,2017,Total,E. coli Other STEC (non-O157),14
Fresno,2017,Total,Ehrlichiosis,0
Fresno,2017,Total,Flavivirus Infection of Undetermined Species,0
Fresno,2017,Total,Giardiasis,34
Fresno,2017,Total,Hantavirus Infection,0
Fresno,2017,Total,Hemolytic Uremic Syndrome,4
Fresno,2017,Total,"Hepatitis E, acute infection",0
Fresno,2017,Total,Legionellosis,16
Fresno,2017,Total,Leprosy,0
Fresno,2017,Total,Leptospirosis,0
Fresno,2017,Total,Listeriosis,1
Fresno,2017,Total,Lyme Disease,0
Fresno,2017,Total,Malaria,1
Fresno,2017,Total,Paralytic Shellfish Poisoning,0
Fresno,2017,Total,"Plague, human",0
Fresno,2017,Total,Psittacosis,0
Fresno,2017,Total,Q Fever,4
Fresno,2017,Total,"Rabies, human",0
Fresno,2017,Total,Relapsing Fever,0
Fresno,2017,Total,Salmonellosis,133
Fresno,2017,Total,Scombroid Fish Poisoning,0
Fresno,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),8
Fresno,2017,Total,Shigellosis,72
Fresno,2017,Total,Spotted Fever Rickettsiosis,0
Fresno,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Fresno,2017,Total,Trichinosis,0
Fresno,2017,Total,Tularemia,0
Fresno,2017,Total,"Typhoid Fever, case",1
Fresno,2017,Total,Typhus Fever,0
Fresno,2017,Total,Vibrio Infection (non-Cholera),2
Fresno,2017,Total,Yellow Fever,0
Fresno,2017,Total,Yersiniosis,8
Fresno,2017,Total,Zika Virus Infection,2
Glenn,2017,Total,Amebiasis,0
Glenn,2017,Total,Anaplasmosis,0
Glenn,2017,Total,Anthrax,0
Glenn,2017,Total,Babesiosis,0
Glenn,2017,Total,"Botulism, Foodborne",0
Glenn,2017,Total,"Botulism, Other",0
Glenn,2017,Total,"Botulism, Wound",0
Glenn,2017,Total,Brucellosis,0
Glenn,2017,Total,Campylobacteriosis,9
Glenn,2017,Total,Chikungunya Virus Infection,0
Glenn,2017,Total,Cholera,0
Glenn,2017,Total,Ciguatera Fish Poisoning,0
Glenn,2017,Total,Coccidioidomycosis,2
Glenn,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Glenn,2017,Total,Cryptosporidiosis,2
Glenn,2017,Total,Cyclosporiasis,0
Glenn,2017,Total,Cysticercosis or Taeniasis,0
Glenn,2017,Total,Dengue,0
Glenn,2017,Total,Domoic Acid Poisoning,0
Glenn,2017,Total,E. coli O157,0
Glenn,2017,Total,E. coli Other STEC (non-O157),1
Glenn,2017,Total,Ehrlichiosis,0
Glenn,2017,Total,Flavivirus Infection of Undetermined Species,0
Glenn,2017,Total,Giardiasis,0
Glenn,2017,Total,Hantavirus Infection,0
Glenn,2017,Total,Hemolytic Uremic Syndrome,0
Glenn,2017,Total,"Hepatitis E, acute infection",0
Glenn,2017,Total,Legionellosis,0
Glenn,2017,Total,Leprosy,0
Glenn,2017,Total,Leptospirosis,0
Glenn,2017,Total,Listeriosis,1
Glenn,2017,Total,Lyme Disease,1
Glenn,2017,Total,Malaria,0
Glenn,2017,Total,Paralytic Shellfish Poisoning,0
Glenn,2017,Total,"Plague, human",0
Glenn,2017,Total,Psittacosis,0
Glenn,2017,Total,Q Fever,0
Glenn,2017,Total,"Rabies, human",0
Glenn,2017,Total,Relapsing Fever,0
Glenn,2017,Total,Salmonellosis,1
Glenn,2017,Total,Scombroid Fish Poisoning,0
Glenn,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Glenn,2017,Total,Shigellosis,1
Glenn,2017,Total,Spotted Fever Rickettsiosis,0
Glenn,2017,Total,Streptococcal Infection (cases in food and dairy workers),1
Glenn,2017,Total,Trichinosis,0
Glenn,2017,Total,Tularemia,0
Glenn,2017,Total,"Typhoid Fever, case",0
Glenn,2017,Total,Typhus Fever,0
Glenn,2017,Total,Vibrio Infection (non-Cholera),0
Glenn,2017,Total,Yellow Fever,0
Glenn,2017,Total,Yersiniosis,0
Glenn,2017,Total,Zika Virus Infection,0
Humboldt,2017,Total,Amebiasis,1
Humboldt,2017,Total,Anaplasmosis,1
Humboldt,2017,Total,Anthrax,0
Humboldt,2017,Total,Babesiosis,0
Humboldt,2017,Total,"Botulism, Foodborne",0
Humboldt,2017,Total,"Botulism, Other",0
Humboldt,2017,Total,"Botulism, Wound",0
Humboldt,2017,Total,Brucellosis,0
Humboldt,2017,Total,Campylobacteriosis,17
Humboldt,2017,Total,Chikungunya Virus Infection,0
Humboldt,2017,Total,Cholera,0
Humboldt,2017,Total,Ciguatera Fish Poisoning,0
Humboldt,2017,Total,Coccidioidomycosis,2
Humboldt,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Humboldt,2017,Total,Cryptosporidiosis,1
Humboldt,2017,Total,Cyclosporiasis,0
Humboldt,2017,Total,Cysticercosis or Taeniasis,0
Humboldt,2017,Total,Dengue,1
Humboldt,2017,Total,Domoic Acid Poisoning,0
Humboldt,2017,Total,E. coli O157,1
Humboldt,2017,Total,E. coli Other STEC (non-O157),4
Humboldt,2017,Total,Ehrlichiosis,0
Humboldt,2017,Total,Flavivirus Infection of Undetermined Species,0
Humboldt,2017,Total,Giardiasis,9
Humboldt,2017,Total,Hantavirus Infection,0
Humboldt,2017,Total,Hemolytic Uremic Syndrome,0
Humboldt,2017,Total,"Hepatitis E, acute infection",0
Humboldt,2017,Total,Legionellosis,1
Humboldt,2017,Total,Leprosy,0
Humboldt,2017,Total,Leptospirosis,0
Humboldt,2017,Total,Listeriosis,0
Humboldt,2017,Total,Lyme Disease,3
Humboldt,2017,Total,Malaria,1
Humboldt,2017,Total,Paralytic Shellfish Poisoning,0
Humboldt,2017,Total,"Plague, human",0
Humboldt,2017,Total,Psittacosis,0
Humboldt,2017,Total,Q Fever,0
Humboldt,2017,Total,"Rabies, human",0
Humboldt,2017,Total,Relapsing Fever,0
Humboldt,2017,Total,Salmonellosis,9
Humboldt,2017,Total,Scombroid Fish Poisoning,0
Humboldt,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Humboldt,2017,Total,Shigellosis,1
Humboldt,2017,Total,Spotted Fever Rickettsiosis,0
Humboldt,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Humboldt,2017,Total,Trichinosis,0
Humboldt,2017,Total,Tularemia,1
Humboldt,2017,Total,"Typhoid Fever, case",0
Humboldt,2017,Total,Typhus Fever,0
Humboldt,2017,Total,Vibrio Infection (non-Cholera),0
Humboldt,2017,Total,Yellow Fever,0
Humboldt,2017,Total,Yersiniosis,1
Humboldt,2017,Total,Zika Virus Infection,0
Imperial,2017,Total,Amebiasis,4
Imperial,2017,Total,Anaplasmosis,0
Imperial,2017,Total,Anthrax,0
Imperial,2017,Total,Babesiosis,0
Imperial,2017,Total,"Botulism, Foodborne",0
Imperial,2017,Total,"Botulism, Other",0
Imperial,2017,Total,"Botulism, Wound",0
Imperial,2017,Total,Brucellosis,0
Imperial,2017,Total,Campylobacteriosis,38
Imperial,2017,Total,Chikungunya Virus Infection,0
Imperial,2017,Total,Cholera,0
Imperial,2017,Total,Ciguatera Fish Poisoning,0
Imperial,2017,Total,Coccidioidomycosis,15
Imperial,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Imperial,2017,Total,Cryptosporidiosis,1
Imperial,2017,Total,Cyclosporiasis,0
Imperial,2017,Total,Cysticercosis or Taeniasis,0
Imperial,2017,Total,Dengue,0
Imperial,2017,Total,Domoic Acid Poisoning,0
Imperial,2017,Total,E. coli O157,0
Imperial,2017,Total,E. coli Other STEC (non-O157),0
Imperial,2017,Total,Ehrlichiosis,0
Imperial,2017,Total,Flavivirus Infection of Undetermined Species,0
Imperial,2017,Total,Giardiasis,1
Imperial,2017,Total,Hantavirus Infection,0
Imperial,2017,Total,Hemolytic Uremic Syndrome,0
Imperial,2017,Total,"Hepatitis E, acute infection",0
Imperial,2017,Total,Legionellosis,0
Imperial,2017,Total,Leprosy,0
Imperial,2017,Total,Leptospirosis,0
Imperial,2017,Total,Listeriosis,2
Imperial,2017,Total,Lyme Disease,0
Imperial,2017,Total,Malaria,0
Imperial,2017,Total,Paralytic Shellfish Poisoning,0
Imperial,2017,Total,"Plague, human",0
Imperial,2017,Total,Psittacosis,0
Imperial,2017,Total,Q Fever,0
Imperial,2017,Total,"Rabies, human",0
Imperial,2017,Total,Relapsing Fever,0
Imperial,2017,Total,Salmonellosis,43
Imperial,2017,Total,Scombroid Fish Poisoning,0
Imperial,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),2
Imperial,2017,Total,Shigellosis,41
Imperial,2017,Total,Spotted Fever Rickettsiosis,0
Imperial,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Imperial,2017,Total,Trichinosis,0
Imperial,2017,Total,Tularemia,0
Imperial,2017,Total,"Typhoid Fever, case",0
Imperial,2017,Total,Typhus Fever,0
Imperial,2017,Total,Vibrio Infection (non-Cholera),0
Imperial,2017,Total,Yellow Fever,0
Imperial,2017,Total,Yersiniosis,0
Imperial,2017,Total,Zika Virus Infection,1
Inyo,2017,Total,Amebiasis,0
Inyo,2017,Total,Anaplasmosis,0
Inyo,2017,Total,Anthrax,0
Inyo,2017,Total,Babesiosis,0
Inyo,2017,Total,"Botulism, Foodborne",0
Inyo,2017,Total,"Botulism, Other",0
Inyo,2017,Total,"Botulism, Wound",0
Inyo,2017,Total,Brucellosis,0
Inyo,2017,Total,Campylobacteriosis,2
Inyo,2017,Total,Chikungunya Virus Infection,0
Inyo,2017,Total,Cholera,0
Inyo,2017,Total,Ciguatera Fish Poisoning,0
Inyo,2017,Total,Coccidioidomycosis,0
Inyo,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Inyo,2017,Total,Cryptosporidiosis,2
Inyo,2017,Total,Cyclosporiasis,0
Inyo,2017,Total,Cysticercosis or Taeniasis,0
Inyo,2017,Total,Dengue,0
Inyo,2017,Total,Domoic Acid Poisoning,0
Inyo,2017,Total,E. coli O157,0
Inyo,2017,Total,E. coli Other STEC (non-O157),0
Inyo,2017,Total,Ehrlichiosis,0
Inyo,2017,Total,Flavivirus Infection of Undetermined Species,0
Inyo,2017,Total,Giardiasis,2
Inyo,2017,Total,Hantavirus Infection,0
Inyo,2017,Total,Hemolytic Uremic Syndrome,0
Inyo,2017,Total,"Hepatitis E, acute infection",0
Inyo,2017,Total,Legionellosis,0
Inyo,2017,Total,Leprosy,0
Inyo,2017,Total,Leptospirosis,0
Inyo,2017,Total,Listeriosis,0
Inyo,2017,Total,Lyme Disease,0
Inyo,2017,Total,Malaria,0
Inyo,2017,Total,Paralytic Shellfish Poisoning,0
Inyo,2017,Total,"Plague, human",0
Inyo,2017,Total,Psittacosis,0
Inyo,2017,Total,Q Fever,0
Inyo,2017,Total,"Rabies, human",0
Inyo,2017,Total,Relapsing Fever,1
Inyo,2017,Total,Salmonellosis,6
Inyo,2017,Total,Scombroid Fish Poisoning,0
Inyo,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Inyo,2017,Total,Shigellosis,0
Inyo,2017,Total,Spotted Fever Rickettsiosis,0
Inyo,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Inyo,2017,Total,Trichinosis,0
Inyo,2017,Total,Tularemia,0
Inyo,2017,Total,"Typhoid Fever, case",0
Inyo,2017,Total,Typhus Fever,0
Inyo,2017,Total,Vibrio Infection (non-Cholera),0
Inyo,2017,Total,Yellow Fever,0
Inyo,2017,Total,Yersiniosis,0
Inyo,2017,Total,Zika Virus Infection,0
Kern,2017,Total,Amebiasis,6
Kern,2017,Total,Anaplasmosis,0
Kern,2017,Total,Anthrax,0
Kern,2017,Total,Babesiosis,0
Kern,2017,Total,"Botulism, Foodborne",0
Kern,2017,Total,"Botulism, Other",0
Kern,2017,Total,"Botulism, Wound",1
Kern,2017,Total,Brucellosis,0
Kern,2017,Total,Campylobacteriosis,336
Kern,2017,Total,Chikungunya Virus Infection,0
Kern,2017,Total,Cholera,0
Kern,2017,Total,Ciguatera Fish Poisoning,0
Kern,2017,Total,Coccidioidomycosis,2779
Kern,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Kern,2017,Total,Cryptosporidiosis,6
Kern,2017,Total,Cyclosporiasis,0
Kern,2017,Total,Cysticercosis or Taeniasis,1
Kern,2017,Total,Dengue,0
Kern,2017,Total,Domoic Acid Poisoning,0
Kern,2017,Total,E. coli O157,7
Kern,2017,Total,E. coli Other STEC (non-O157),6
Kern,2017,Total,Ehrlichiosis,0
Kern,2017,Total,Flavivirus Infection of Undetermined Species,0
Kern,2017,Total,Giardiasis,32
Kern,2017,Total,Hantavirus Infection,0
Kern,2017,Total,Hemolytic Uremic Syndrome,0
Kern,2017,Total,"Hepatitis E, acute infection",0
Kern,2017,Total,Legionellosis,4
Kern,2017,Total,Leprosy,0
Kern,2017,Total,Leptospirosis,0
Kern,2017,Total,Listeriosis,2
Kern,2017,Total,Lyme Disease,1
Kern,2017,Total,Malaria,0
Kern,2017,Total,Paralytic Shellfish Poisoning,0
Kern,2017,Total,"Plague, human",0
Kern,2017,Total,Psittacosis,0
Kern,2017,Total,Q Fever,0
Kern,2017,Total,"Rabies, human",0
Kern,2017,Total,Relapsing Fever,0
Kern,2017,Total,Salmonellosis,64
Kern,2017,Total,Scombroid Fish Poisoning,0
Kern,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),1
Kern,2017,Total,Shigellosis,56
Kern,2017,Total,Spotted Fever Rickettsiosis,0
Kern,2017,Total,Streptococcal Infection (cases in food and dairy workers),1
Kern,2017,Total,Trichinosis,0
Kern,2017,Total,Tularemia,0
Kern,2017,Total,"Typhoid Fever, case",2
Kern,2017,Total,Typhus Fever,0
Kern,2017,Total,Vibrio Infection (non-Cholera),2
Kern,2017,Total,Yellow Fever,0
Kern,2017,Total,Yersiniosis,1
Kern,2017,Total,Zika Virus Infection,1
Kings,2017,Total,Amebiasis,0
Kings,2017,Total,Anaplasmosis,0
Kings,2017,Total,Anthrax,0
Kings,2017,Total,Babesiosis,0
Kings,2017,Total,"Botulism, Foodborne",0
Kings,2017,Total,"Botulism, Other",0
Kings,2017,Total,"Botulism, Wound",0
Kings,2017,Total,Brucellosis,0
Kings,2017,Total,Campylobacteriosis,38
Kings,2017,Total,Chikungunya Virus Infection,0
Kings,2017,Total,Cholera,0
Kings,2017,Total,Ciguatera Fish Poisoning,0
Kings,2017,Total,Coccidioidomycosis,273
Kings,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Kings,2017,Total,Cryptosporidiosis,0
Kings,2017,Total,Cyclosporiasis,0
Kings,2017,Total,Cysticercosis or Taeniasis,0
Kings,2017,Total,Dengue,0
Kings,2017,Total,Domoic Acid Poisoning,0
Kings,2017,Total,E. coli O157,3
Kings,2017,Total,E. coli Other STEC (non-O157),1
Kings,2017,Total,Ehrlichiosis,0
Kings,2017,Total,Flavivirus Infection of Undetermined Species,0
Kings,2017,Total,Giardiasis,3
Kings,2017,Total,Hantavirus Infection,0
Kings,2017,Total,Hemolytic Uremic Syndrome,0
Kings,2017,Total,"Hepatitis E, acute infection",0
Kings,2017,Total,Legionellosis,1
Kings,2017,Total,Leprosy,0
Kings,2017,Total,Leptospirosis,0
Kings,2017,Total,Listeriosis,0
Kings,2017,Total,Lyme Disease,1
Kings,2017,Total,Malaria,0
Kings,2017,Total,Paralytic Shellfish Poisoning,0
Kings,2017,Total,"Plague, human",0
Kings,2017,Total,Psittacosis,0
Kings,2017,Total,Q Fever,1
Kings,2017,Total,"Rabies, human",0
Kings,2017,Total,Relapsing Fever,0
Kings,2017,Total,Salmonellosis,48
Kings,2017,Total,Scombroid Fish Poisoning,0
Kings,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),1
Kings,2017,Total,Shigellosis,0
Kings,2017,Total,Spotted Fever Rickettsiosis,0
Kings,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Kings,2017,Total,Trichinosis,0
Kings,2017,Total,Tularemia,0
Kings,2017,Total,"Typhoid Fever, case",0
Kings,2017,Total,Typhus Fever,0
Kings,2017,Total,Vibrio Infection (non-Cholera),0
Kings,2017,Total,Yellow Fever,0
Kings,2017,Total,Yersiniosis,0
Kings,2017,Total,Zika Virus Infection,0
Lake,2017,Total,Amebiasis,1
Lake,2017,Total,Anaplasmosis,0
Lake,2017,Total,Anthrax,0
Lake,2017,Total,Babesiosis,0
Lake,2017,Total,"Botulism, Foodborne",0
Lake,2017,Total,"Botulism, Other",0
Lake,2017,Total,"Botulism, Wound",0
Lake,2017,Total,Brucellosis,0
Lake,2017,Total,Campylobacteriosis,13
Lake,2017,Total,Chikungunya Virus Infection,0
Lake,2017,Total,Cholera,0
Lake,2017,Total,Ciguatera Fish Poisoning,0
Lake,2017,Total,Coccidioidomycosis,2
Lake,2017,Total,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,0
Lake,2017,Total,Cryptosporidiosis,1
Lake,2017,Total,Cyclosporiasis,0
Lake,2017,Total,Cysticercosis or Taeniasis,0
Lake,2017,Total,Dengue,0
Lake,2017,Total,Domoic Acid Poisoning,0
Lake,2017,Total,E. coli O157,1
Lake,2017,Total,E. coli Other STEC (non-O157),1
Lake,2017,Total,Ehrlichiosis,0
Lake,2017,Total,Flavivirus Infection of Undetermined Species,0
Lake,2017,Total,Giardiasis,3
Lake,2017,Total,Hantavirus Infection,0
Lake,2017,Total,Hemolytic Uremic Syndrome,0
Lake,2017,Total,"Hepatitis E, acute infection",0
Lake,2017,Total,Legionellosis,0
Lake,2017,Total,Leprosy,0
Lake,2017,Total,Leptospirosis,0
Lake,2017,Total,Listeriosis,0
Lake,2017,Total,Lyme Disease,0
Lake,2017,Total,Malaria,1
Lake,2017,Total,Paralytic Shellfish Poisoning,0
Lake,2017,Total,"Plague, human",0
Lake,2017,Total,Psittacosis,0
Lake,2017,Total,Q Fever,0
Lake,2017,Total,"Rabies, human",0
Lake,2017,Total,Relapsing Fever,0
Lake,2017,Total,Salmonellosis,6
Lake,2017,Total,Scombroid Fish Poisoning,0
Lake,2017,Total,Shiga Toxin Positive Feces (without culture confirmation),0
Lake,2017,Total,Shigellosis,4
Lake,2017,Total,Spotted Fever Rickettsiosis,0
Lake,2017,Total,Streptococcal Infection (cases in food and dairy workers),0
Lake,2017,Total,Trichinosis,0
Lake,2017,Total,Tularemia,1
Lake,2017,Total,"Typhoid Fever, case",0
Lake,2017,Total,Typhus Fever,0
Lake,2017,Total,Vibrio Infection (non-Cholera),0
Lake,2017,Total,Yellow Fever,0
Lake,2017,Total,Yersiniosis,1
Lake,2017,Total,Zika Virus Infection,0
Lassen,2017,Total,Amebiasis,0
Lassen,2017,Total,Anaplasmosis,0
Lassen,2017,Total,Anthrax,0
Lassen,2017,Total,Babesiosis,0
Lassen,2017,Total,"Botulism, Foodborne",0
